epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1872,1.72282,3.78084,1.35493,0.02248,0.74,0.08144,0.05511,1.23542,3.54773,1.17413,0.00023338,0.00023338,0.00023338
2,22.6374,1.3351,2.71354,1.1847,0.01945,0.82,0.14803,0.09686,1.10416,3.15148,1.06877,0.000387711,0.000387711,0.000387711
3,35.0321,1.24843,1.8108,1.11734,0.80831,0.08499,0.48226,0.33199,1.27969,2.6558,1.15472,0.000443022,0.000443022,0.000443022
4,54.2343,1.25118,1.90868,1.09858,0.91399,0.28,0.62155,0.3902,1.42126,2.33201,1.20794,0.000399313,0.000399313,0.000399313
5,71.521,1.41846,1.67833,1.12215,0.94232,0.32699,0.68283,0.41739,1.3738,2.18136,1.16553,0.000256585,0.000256585,0.000256585
